Generation,pm,pm0,deviation,best_fitness
144,0.011,0.01,0.00969305331179,100
145,0.012,0.01,0.00959111559818,100
146,0.013,0.01,0.00959111559818,100
147,0.014,0.01,0.00897992129957,100
148,0.015,0.01,0.00908173562059,100
149,0.016,0.01,0.00969305331179,100
150,0.015,0.01,0.010713563776,100
151,0.016,0.01,0.00999899000101,100
152,0.017,0.01,0.00908173562059,100
153,0.016,0.01,0.0103051121439,100
154,0.015,0.01,0.0108157282927,100
155,0.014,0.01,0.010101010101,100
156,0.015,0.01,0.00877635428226,100
157,0.016,0.01,0.00806451612903,100
158,0.017,0.01,0.00765820233777,100
159,0.018,0.01,0.00816614578082,100
160,0.019,0.01,0.0082677959266,100
161,0.02,0.01,0.00928542591845,100
162,0.021,0.01,0.00948919846558,100
163,0.02,0.01,0.010713563776,100
164,0.019,0.01,0.0114291493881,100
165,0.018,0.01,0.0114291493881,100
166,0.017,0.01,0.0119409026513,100
167,0.016,0.01,0.0120433154539,100
168,0.015,0.01,0.0118385105737,100
169,0.014,0.01,0.010611419909,100
170,0.015,0.01,0.0082677959266,100
171,0.016,0.01,0.00755667506297,100
172,0.017,0.01,0.00654252642174,100
173,0.018,0.01,0.00704934541793,100
174,0.019,0.01,0.00765820233777,100
175,0.02,0.01,0.00796290696502,100
176,0.019,0.01,0.0112245929821,100
177,0.018,0.01,0.0118385105737,100
178,0.017,0.01,0.0116337885685,100
179,0.016,0.01,0.0114291493881,100
180,0.015,0.01,0.0111223458038,100
181,0.014,0.01,0.010101010101,100
182,0.015,0.01,0.00979501161264,100
183,0.016,0.01,0.00897992129957,100
184,0.017,0.01,0.00836946657255,100
185,0.018,0.01,0.00745516824501,100
186,0.019,0.01,0.00735368187771,100
187,0.02,0.01,0.00775975007558,100
188,0.021,0.01,0.0088781275222,100
189,0.02,0.01,0.0108157282927,100
190,0.019,0.01,0.0116337885685,100
191,0.018,0.01,0.012350678275,100
192,0.017,0.01,0.0127607859024,100
193,0.016,0.01,0.0138902970699,100
194,0.015,0.01,0.0138902970699,100
195,0.014,0.01,0.0118385105737,100
196,0.015,0.01,0.0088781275222,100
197,0.016,0.01,0.00725221595488,100
198,0.017,0.01,0.00765820233777,100
199,0.018,0.01,0.00775975007558,100
200,0.019,0.01,0.00836946657255,100
