Generation,pm,pm0,deviation,best_fitness
161,0.004,0.01,0.0132183860437,86.1969902029
162,0.003,0.01,0.0110348848429,86.1969902029
163,0.004,0.01,0.00886079359148,86.2522202699
164,0.003,0.01,0.0111590349908,86.6557862047
165,0.004,0.01,0.00842228828266,86.6557862047
166,0.005,0.01,0.00747185413282,86.7305155278
167,0.006,0.01,0.00921148621803,87.0158928766
168,0.007,0.01,0.00849020266953,87.0587881966
169,0.008,0.01,0.00875989246056,87.131553458
170,0.009,0.01,0.00782436255109,87.131553458
171,0.01,0.01,0.00920374025684,87.3444088458
172,0.011,0.01,0.00872240631618,87.3444088458
173,0.012,0.01,0.00944954007434,87.4631132163
174,0.011,0.01,0.0114675725643,87.7207841913
175,0.01,0.01,0.0109089460138,87.7564794172
176,0.009,0.01,0.0140749497101,88.1346263275
177,0.008,0.01,0.0130232230813,88.1346263275
178,0.007,0.01,0.0114930520022,88.1346263275
179,0.006,0.01,0.0127401222781,88.4273973538
180,0.005,0.01,0.0150217774965,88.8006304835
181,0.004,0.01,0.0162278935573,89.1397743533
182,0.003,0.01,0.013217785405,89.1397743533
183,0.004,0.01,0.00952492263182,89.1397743533
184,0.005,0.01,0.00722854224915,89.1767363276
185,0.006,0.01,0.00720451094005,89.3567711523
186,0.007,0.01,0.00776505299289,89.5232872686
187,0.008,0.01,0.00861146356314,89.6668676456
188,0.009,0.01,0.00769401594421,89.6668676456
189,0.008,0.01,0.0101996393491,89.9309427422
190,0.009,0.01,0.00906805913095,89.9309427422
191,0.01,0.01,0.00998273496237,90.0586841453
192,0.009,0.01,0.0108362820056,90.134086208
193,0.008,0.01,0.0102210671287,90.134086208
194,0.009,0.01,0.00975483533573,90.134086208
195,0.01,0.01,0.00924452145038,90.134086208
196,0.011,0.01,0.00965606089447,90.2059348904
197,0.012,0.01,0.00944161890953,90.2059348904
198,0.011,0.01,0.010769915891,90.3299194226
199,0.01,0.01,0.0102093609668,90.3434720011
200,0.009,0.01,0.0120446552415,90.5846572692
