Generation,pm,pm0,deviation,best_fitness
180,0.088,0.2,0.201698021631,2204
181,0.087,0.2,0.203719827882,2204
182,0.086,0.2,0.20546513095,2204
183,0.085,0.2,0.211654916605,2204
184,0.084,0.2,0.21571139318,2204
185,0.083,0.2,0.224344101374,2173
186,0.082,0.2,0.212701127145,2173
187,0.081,0.2,0.218192921318,2138
188,0.08,0.2,0.2158905034,2138
189,0.079,0.2,0.21671783524,2138
190,0.078,0.2,0.223045530695,2138
191,0.077,0.2,0.218675768716,2138
192,0.076,0.2,0.218009912035,2138
193,0.075,0.2,0.213817398243,2138
194,0.074,0.2,0.216373325905,2138
195,0.073,0.2,0.200965717767,2138
196,0.074,0.2,0.198629649204,2138
197,0.075,0.2,0.189347003466,2138
198,0.076,0.2,0.190669609227,2138
199,0.077,0.2,0.185936268481,2138
200,0.078,0.2,0.184383499979,2138
