Generation,Min,Max,Avg,Std
68,2444,4262,3929.77,330.109007249
69,2444,4207,3883.43,286.592000671
70,2444,4323,3914.1,314.335422082
71,2444,4277,3891.9,326.976306558
72,2444,4231,3830.55,327.412826705
73,2444,4260,3847.08,340.454173187
74,2444,4250,3815.42,333.293366695
75,2444,4143,3786.99,304.039985907
76,2444,4209,3760.34,331.364586661
77,2444,4066,3734.46,280.118460511
78,2444,4177,3753.99,314.98582604
79,2444,4163,3778.57,313.665563873
80,2444,4101,3761.06,283.871567915
81,2444,4138,3791.16,288.424761122
82,2444,4120,3796.85,270.902583221
83,2444,4174,3802.81,305.282240498
84,2444,4109,3770.87,285.05383702
85,2444,4124,3774.06,289.969027256
86,2444,4076,3710.63,269.824621493
87,2444,3970,3618.79,284.294316659
88,2444,3990,3613.87,268.834132896
89,2444,3994,3668.22,260.636810659
90,2444,3935,3591.44,262.014276733
91,2444,3987,3650.39,257.878833618
92,2444,4036,3675.09,301.145023455
93,2444,3945,3598.28,267.247967932
94,2444,3913,3523.64,301.148022934
95,2444,3850,3514.3,267.310416157
96,2444,3847,3518.85,254.110465719
97,2444,3815,3458.74,266.328672922
98,2444,3809,3439.69,294.449141396
99,2444,3714,3326.53,269.387650351
100,2444,3699,3330.16,284.102262141
101,2444,3759,3406.56,285.676596129
102,2444,3665,3323.09,254.19765216
103,2444,3760,3417.11,267.384748891
104,2444,3731,3386.54,280.043482194
105,2444,3711,3360.28,297.206117642
106,2444,3750,3395.15,266.830569895
107,2444,3699,3369.03,250.241598614
108,2444,3699,3379.83,232.631761513
109,2444,3694,3399.62,233.190596168
110,2444,3828,3427.66,272.772492615
111,2444,3739,3397.19,251.017875133
112,2444,3677,3370.95,235.592928115
113,2444,3688,3332.96,241.126268108
114,2444,3575,3277.81,221.640380989
115,2444,3604,3286.81,219.074762157
116,2444,3552,3261.03,218.896288113
117,2444,3537,3264.2,213.869685613
118,2444,3564,3244.28,216.898015415
119,2444,3634,3215.65,234.685965761
120,2444,3690,3258.96,254.785904182
121,2444,3638,3276.31,247.531354814
122,2444,3560,3236.52,218.980072891
123,2444,3586,3261.44,237.793617333
124,2383,3617,3256.71,255.280328979
125,2383,3621,3304.83,250.963076483
126,2383,3602,3273.9,251.377276924
127,2383,3506,3207.27,245.802205733
128,2383,3433,3133.85,235.824424288
129,2383,3420,3118.87,239.85419203
130,2383,3494,3131.23,236.580088944
131,2383,3394,3091.48,214.850170015
132,2383,3451,3101.15,236.493636064
133,2383,3425,3071.18,245.447329411
134,2383,3340,3023.23,215.94616122
135,2383,3265,3001.34,211.858549151
136,2383,3217,2960.38,202.806808604
137,2383,3184,2915.98,187.679448405
138,2383,3137,2911.51,178.812553228
139,2383,3190,2934.7,175.216950658
140,2383,3137,2908.26,182.002975889
141,2383,3135,2905.57,174.571293358
142,2383,3091,2890.0,181.969749956
143,2383,3157,2850.36,205.383038061
144,2383,3211,2895.19,188.282545847
145,2281,3184,2889.99,194.397307158
146,2281,3188,2912.37,183.110534317
147,2281,3152,2894.74,187.294863946
148,2281,3202,2933.4,197.19103182
149,2281,3222,2943.57,197.832714507
150,2281,3155,2890.42,199.437602201
151,2281,3189,2909.57,204.718395151
152,2281,3151,2905.65,188.196242677
153,2281,3137,2872.27,192.803236435
154,2281,3088,2853.99,179.400544744
155,2281,3018,2804.02,164.722109425
156,2281,3012,2775.29,174.035483146
157,2281,3015,2753.1,180.594277122
158,2249,2965,2725.09,188.221881477
159,2243,2965,2728.96,179.871105366
160,2243,3043,2749.44,181.970711374
161,2243,2992,2740.03,178.02016995
162,2243,3209,2785.64,206.767058705
163,2243,3099,2766.78,199.328649991
164,2243,3011,2756.89,185.623540772
165,2226,3195,2792.58,215.873334541
166,2226,3090,2734.8,226.560536651
167,2226,3094,2763.0,209.916577947
168,2226,2997,2764.89,175.519137349
169,2212,3076,2763.39,198.19192285
170,2212,3388,2890.57,268.42594882
171,2212,3254,2901.11,229.262537302
172,2212,3233,2896.09,228.090850896
173,2212,3156,2874.97,200.068546587
174,2212,3211,2855.2,206.328462272
175,2212,3139,2860.09,196.617358739
176,2212,3202,2870.22,188.025281988
177,2212,3136,2840.31,178.034368206
178,2212,3156,2826.66,172.279032533
179,2212,3009,2802.53,141.707798307
180,2212,3007,2783.41,160.292667621
181,2212,3080,2803.69,174.857904504
182,2212,3138,2827.62,182.453413453
183,2212,3025,2778.97,163.760693536
184,2212,3001,2754.58,178.511589189
185,2206,2981,2733.74,185.732000909
186,2206,2971,2707.4,170.394195377
187,2206,2940,2711.36,168.653641849
188,2206,2904,2713.23,146.001096924
189,2206,3093,2746.95,172.364681224
190,2206,2930,2712.02,149.11218609
191,2206,2909,2685.43,152.345848899
192,2206,2940,2703.21,165.592983736
193,2206,3028,2722.2,181.158114989
194,2206,3121,2739.81,201.207149651
195,2206,3030,2731.43,193.93283514
196,2206,2986,2712.18,171.353929902
197,2206,3079,2766.46,191.446984512
198,2206,3105,2791.23,179.480217812
199,2206,3097,2784.13,168.515482309
200,2206,3057,2783.18,163.708929926
